0,Luv luv luv uuuuuuuu
1,Bạn ca sĩ hát hay lắm. Chúc nhóm thành công nhé !
2,Cảm ơn bạn nha!
0,Em say quá anh ơiii
1,Lâu ngày quá chắc mn quên mình ròi 🥺
2,1.000 View òiii. Thanks mọi người nhiềuuuu ❤️
3,Vjp ạ
4,Mình cảm ơn nhé. Nhớ đăng ký kênh để nhận đc Thông báo mỗi khi mình ra vd nèeee
5,Hay quá ạaaaa🥰
6,N cảm ơn nè :3
7,Thử đú tiktok đi biết đâu lại hot
8,Để n đăng thử kkk
9,Fan cứng nè
10,Hiiiihi :3
11,Hay quáaaa =))
12,Yêuuuu :3
13,Cho tui xin link mua dây voii cậu wui
14,Hay quá a nhân ơi ><
15,Lần cuối đi chị :33
16,Để a sau này làm xong nốt mấy bài kia đã
17,Perfect !!
18,Tksss :3
19,“ Hạnh phúc bỏ rơi em “ đi b ơi
20,Sau này mình sẽ làm ạ
21,like đầu tiên luon ;-;
22,Tks b nha
23,"Cảm ơn mn đã lắng nghe và ghé qua phần bình luận này, nếu các bạn thấy hay thì cho mình 1 like và 1 lượt Subcribe nhé
-
Mình cảm ơn mn đã ủng hộ mình trong thời gian qua ❤️"
24,"Sao bạn quay được dây đàn nó lượn sóng hay zậy,chỉ với bạn quay bằng phần mềm gì vậy cảm ơn bạn"
25,nguyễn công danh đúng r bạn. Mình dùng app Inshot để chỉnh màu lại á
26,@Nguyễn Thanh Nhân à tại thấy bạn quay trời đẹp bạn chỉnh màu lại hả
27,nguyễn công danh mình dùng đt IP quay camera thường á bạn. Bạn chỉ cần quay ra nắng là dây đàn nó lượn sóng á.
28,Bạn có bấm hợp âm k hay là đàn trên dây thôi??
29,Thi Dep Cao mình đánh như bình thường mới được chứ b 🤣.
30,"Thấp thoáng ánh mắt đôi môi mang theo hương mê say
Em cho anh tan trong miên man quên luôn đi đêm ngày
Chạm nhẹ vội vàng hai ba giây nhưng con tim đâu hay
Bối rối khẽ lên ngôi yêu thương đong đầy thật đầy
Anh ngẩn ngơ cứ ngỡ
Đó chỉ là giấc mơ
Anh ngẩn ngơ cứ ngỡ

Nhưng đang ngất ngây trong giấc mơ
Thật ngọt ngào êm dịu đắm chìm phút chốc viết tương tư gieo nên thơ
Có câu ca trong gió hát ngân nga ru trời mây nhẹ nhàng đón ban mai ngang qua trao nụ cười
Nắng đua chen khoe sắc vui đùa giữa muôn ngàn hoa dịu dàng đến nhân gian âu yếm tâm hồn người
Hình như chính em
Cho anh mong chờ
Hình như chính em
Cho anh vấn vương
Đừng thờ ơ xin hãy lắng nghe và giúp anh trả lời đôi điều còn băn khoăn
Có chắc yêu là đây đây đây
Có chắc yêu là đây đây 
Có chắc yêu là đây đây đây
Có chắc yêu là đây đây
Em lang thang cả ngày trong tâm trí
Đi không ngừng cả ngày trong tâm trí
Si mê thêm cuồng quay
Ah uhhhhh
Có chắc yêu là đây"
31,Có tab kh anh
32,"koutgg Nguyenbhh không có nhé bạn. Do mình đánh ngẫu hứng theo cảm âm á.
Cảm ơn bạn đã ủng hộ ạ"
33,Nhìn ngón tay lướt trên phím đàn thấy thích gê. Mong đc tt cùng bạn👍🔔
34,bạn chơi guitar hay quá .tuyệt vời
35,PHAN THAI CUONG mình cảm ơn b nhiều ạh
36,Đã sub ạ
37,SonTran TV tks b nha. Mình sub cho b r đấy kkk
38,hi quá hay luôn bạn mình ơi hihi
39,Cảm ơn b nhiều nhaa ❤️
